Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,dhid
Mooroolbark,KingKids Early Learning Centre and Kindergarten Mooroolbark,101-103 Manchester Road,VIC,3138,2021-10-01,01/10/2021,8:00am - 12:00pm,Case attended venue,2021-10-06,06/10/2021,21:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,12:00:00,G5H4
Clyde North,Clyde North YMCA Early Learning Centre,35 Aayana Street,VIC,3978,2021-09-27,27/09/2021,8:00am - 11:00am,Case attended venue,2021-10-06,06/10/2021,21:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,11:00:00,G6U4
Altona Meadows,Peach and Plum Early Learning Centre,69 Central Avenue,VIC,3028,2021-09-28,28/09/2021,8:35am - 3:45pm,Case attended venue,2021-10-06,06/10/2021,20:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:35:00,15:45:00,G9P5
Altona Meadows,Peach and Plum Early Learning Centre,69 Central Avenue,VIC,3028,2021-09-29,29/09/2021,7:50am - 3:10pm,Case attended venue,2021-10-06,06/10/2021,20:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:50:00,15:10:00,F2U4
Altona Meadows,Peach and Plum Early Learning Centre,69 Central Avenue,VIC,3028,2021-09-30,30/09/2021,6:30am - 3:00pm,Case attended venue,2021-10-06,06/10/2021,20:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,15:00:00,F3Z5
Altona Meadows,Peach and Plum Early Learning Centre,69 Central Avenue,VIC,3028,2021-10-01,01/10/2021,6:30am - 6:30pm,Case attended venue,2021-10-06,06/10/2021,20:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,18:30:00,F2A3
Caulfield North,Guardian Childcare & Education Caulfield,249 Glen Eira Road,VIC,3161,2021-09-28,28/09/2021,6:45am - 3:30pm,Case attended venue,2021-10-06,06/10/2021,20:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:45:00,15:30:00,G8H3
Caulfield North,Guardian Childcare & Education Caulfield,249 Glen Eira Road,VIC,3161,2021-09-29,29/09/2021,6:45am - 3:30pm,Case attended venue,2021-10-06,06/10/2021,20:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:45:00,15:30:00,G6K8
Caulfield North,Guardian Childcare & Education Caulfield,249 Glen Eira Road,VIC,3161,2021-09-30,30/09/2021,6:45am - 3:30pm,Case attended venue,2021-10-06,06/10/2021,20:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:45:00,15:30:00,G8B7
Caulfield North,Guardian Childcare & Education Caulfield,249 Glen Eira Road,VIC,3161,2021-10-01,01/10/2021,6:45am - 5:00pm,Case attended venue,2021-10-06,06/10/2021,20:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:45:00,17:00:00,F7N3
Parkville,Royal Children's Hospital - Main Street Walkway from Royal Park Entrance to Screening Point,50 Flemington Road,VIC,3052,2021-09-26,26/09/2021,3:45pm - 7:30pm,Case attended venue,2021-10-06,06/10/2021,18:10:15,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,15:45:00,19:30:00,F6U2
Shepparton,Wyndham Early Learning Shepparton,617 Wyndham Street,VIC,3630,2021-09-28,28/09/2021,8:30am - 1:40pm,Case attended venue,2021-10-06,06/10/2021,18:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:30:00,13:40:00,F6J4
Shepparton,Wyndham Early Learning Shepparton,617 Wyndham Street,VIC,3630,2021-09-30,30/09/2021,9:10am - 1:30pm,Case attended venue,2021-10-06,06/10/2021,18:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:10:00,13:30:00,F3W6
Bundoora,Australia Post Bundoora LPO - Bundoora Square Shopping Centre,39 Plenty Road,VIC,3083,2021-09-29,29/09/2021,9:00am - 5:30pm,Case attended venue,2021-10-06,06/10/2021,14:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:30:00,G3U8
Bundoora,Australia Post Bundoora LPO - Bundoora Square Shopping Centre,39 Plenty Road,VIC,3083,2021-09-30,30/09/2021,9:00am - 5:30pm,Case attended venue,2021-10-06,06/10/2021,14:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:30:00,G7M4
Waurn Ponds,Dr Boom Communications - Waurn Ponds Shopping Centre,Corner of Colac & Pioneer Road,VIC,3216,2021-09-29,29/09/2021,11:00am - 6:00pm,Case attended venue,2021-10-06,06/10/2021,14:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:00:00,18:00:00,F4X7
Waurn Ponds,Dr Boom Communications - Waurn Ponds Shopping Centre,Corner of Colac & Pioneer Road,VIC,3216,2021-10-01,01/10/2021,11:00am - 7:30pm,Case attended venue,2021-10-06,06/10/2021,14:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:00:00,19:30:00,G3K4
Kangaroo Flat,Lansell Square        ,267 High Street	,VIC,3555,2021-10-03,03/10/2021,7:45am - 4:31pm,Case attended venue,2021-10-06,06/10/2021,10:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:45:00,16:31:00,G8U3
Wendouree,Groundworks Cafe - Stockland Wendouree Village Shopping Centre,330 Gillies Street North	,VIC,3355,2021-10-02,02/10/2021,9:50am - 4:30pm,Case attended venue,2021-10-06,06/10/2021,10:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:50:00,16:30:00,F3L4
Wendouree,Groundworks Cafe - Stockland Wendouree Village Shopping Centre,330 Gillies Street North	,VIC,3355,2021-10-03,03/10/2021,10:50am - 12:50pm,Case attended venue,2021-10-06,06/10/2021,10:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,10:50:00,12:50:00,F2S9
Wendouree,Groundworks Cafe - Stockland Wendouree Village Shopping Centre,330 Gillies Street North	,VIC,3355,2021-10-04,04/10/2021,8:50am - 12:30pm,Case attended venue,2021-10-06,06/10/2021,10:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:50:00,12:30:00,F2G8
Clyde,Cranbourne Daycare and Kindergarten Centre,11 Oroya Grove,VIC,3978,2021-10-01,01/10/2021,6:00am - 2:30pm,Case attended venue,2021-10-06,06/10/2021,10:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:00:00,14:30:00,G3X6
Ballarat Central,Schnitz        ,321 Sturt Street,VIC,3350,2021-10-02,02/10/2021,1:35pm - 2:45pm,Case attended venue,2021-10-06,06/10/2021,10:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,13:35:00,14:45:00,G5B2
Camberwell,Only About Children Camberwell,1067-1069 Toorak Road,VIC,3124,2021-09-27,27/09/2021,8:00am - 6:00pm,Case attended venue,2021-10-05,05/10/2021,21:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,18:00:00,G2Z5
Derrimut,Swan Childcare Derrimut,4 Castro Way,VIC,3030,2021-09-30,30/09/2021,9:00am - 5:45pm,Case attended venue,2021-10-05,05/10/2021,21:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:45:00,G8Q5
Nathalia,Nathalia Library,75 Blake Street,VIC,3638,2021-09-30,30/09/2021,9:30am - 5:30pm,Case attended venue,2021-10-05,05/10/2021,21:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:30:00,17:30:00,G3N2
Nathalia,Nathalia Library,75 Blake Street,VIC,3638,2021-10-01,01/10/2021,9:30am - 1:00pm,Case attended venue,2021-10-05,05/10/2021,21:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:30:00,13:00:00,G3M9
Derrimut,Swan Childcare Derrimut,4 Castro Way,VIC,3030,2021-10-01,01/10/2021,9:00am - 5:45pm,Case attended venue,2021-10-05,05/10/2021,21:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:45:00,G2T5
Mount Macedon,"""Mount Macedon Trading Post General Store"," Cafe & Post Office""686 Mount Macedon Road",VIC,3441,2021-09-30,30/09/2021,9:42am - 11:15am,Case attended venue,2021-10-05,05/10/2021,15:48:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:42:00,11:15:00,F6F8
Macedon,Mr Cafe Macedon,23 Victoria Street,VIC,3440,2021-09-29,29/09/2021,8:45am - 10:15am,Case attended venue,2021-10-05,05/10/2021,14:31:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:45:00,10:15:00,G4R8
Emerald,HEI Schools Emerald Early Learning Centre,267-271 Belgrave-Gembrook Road,VIC,3782,2021-09-27,27/09/2021,9:00am - 6:30pm,Case attended venue,2021-10-05,05/10/2021,13:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,18:30:00,F4B9
Emerald,HEI Schools Emerald Early Learning Centre,267-271 Belgrave-Gembrook Road,VIC,3782,2021-09-28,28/09/2021,9:00am - 6:30pm,Case attended venue,2021-10-05,05/10/2021,13:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,18:30:00,G5R8
Emerald,HEI Schools Emerald Early Learning Centre,267-271 Belgrave-Gembrook Road,VIC,3782,2021-09-29,29/09/2021,9:00am - 6:30pm,Case attended venue,2021-10-05,05/10/2021,13:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,18:30:00,G4L8
Woodend,The Hanging Rock Cafe,139 South Rock Road,VIC,3442,2021-10-01,01/10/2021,10:30am - 1:30pm,Case attended venue,2021-10-04,04/10/2021,22:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,10:30:00,13:30:00,F7K7
Barnawartha North,"""BP Barnawartha North Truckstop Toilets and Showers""",Murray Valley Highway,VIC,3691,2021-09-28,28/09/2021,8:30pm - 11:59am,Case attended venue. All visitors who used the truckstop shower and toilet facilities (not public restroom) are Tier 1 contacts.,2021-10-04,04/10/2021,22:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,20:30:00,11:59:00,G9W9
Barnawartha North,"""BP Barnawartha North Truckstop Toilets and Showers""",Murray Valley Highway,VIC,3691,2021-09-29,29/09/2021,12:00am - 6:15am,Case attended venue. All visitors who used the truckstop shower and toilet facilities (not public restroom) are Tier 1 contacts.,2021-10-04,04/10/2021,22:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,06:15:00,F3L3
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Booth Street Golden Square),,VIC,,2021-09-24,24/09/2021,11:44am - 12:55pm,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:44:00,12:55:00,F3M4
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Booth Street Golden Square),,VIC,,2021-09-25,25/09/2021,1:47pm - 2:53pm,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:47:00,14:53:00,G6X7
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Booth Street Golden Square),,VIC,,2021-09-26,26/09/2021,8:44am - 9:50am,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:44:00,09:50:00,F9V3
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Booth Street Golden Square),,VIC,,2021-09-28,28/09/2021,11:03am - 12:13pm,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:03:00,12:13:00,F2X6
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Bendigo),,VIC,,2021-10-01,01/10/2021,10:03am - 11:05am,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:03:00,11:05:00,G2Q3
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Mitchell Street Outbound to Booth Street Golden Square),,VIC,,2021-10-01,01/10/2021,12:36pm - 1:12pm,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:36:00,13:12:00,F9Q7
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Booth Street Golden Square),,VIC,,2021-10-01,01/10/2021,4:39pm - 5:45pm,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,16:39:00,17:45:00,F9W2
Public Transport,Christian Bus Lines Bendigo - Bus Route 5 (Huntly Shopping Centre to Booth Street Golden Square),,VIC,,2021-10-02,02/10/2021,10:46am - 11:56am,Case travelled on bus,2021-10-04,04/10/2021,22:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:46:00,11:56:00,G9Q6
New Gisborne,Functional Fitness Plus,4/52 Barry Road,VIC,3438,2021-09-29,29/09/2021,8:00pm - 9:45pm,Case attended venue,2021-10-04,04/10/2021,20:48:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,20:00:00,21:45:00,F8X5
New Gisborne,Functional Fitness Plus,4/52 Barry Road,VIC,3438,2021-09-30,30/09/2021,7:30am - 9:00am,Case attended venue,2021-10-04,04/10/2021,20:48:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:30:00,09:00:00,F5D6
New Gisborne,Functional Fitness Plus,4/52 Barry Road,VIC,3438,2021-10-01,01/10/2021,7:30am - 9:00am,Case attended venue,2021-10-04,04/10/2021,20:48:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:30:00,09:00:00,G3A7
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-09-29,29/09/2021,12:00am - 11:59pm,Case attended venue,2021-10-04,04/10/2021,20:04:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,F9X2
Shepparton,Origin Athletics Gym,8 Hoskin Street,VIC,3630,2021-09-27,27/09/2021,2:45pm - 3:30pm,Case attended venue,2021-10-04,04/10/2021,16:04:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,14:45:00,15:30:00,G3C4
Shepparton,Origin Athletics Gym,8 Hoskin Street,VIC,3630,2021-09-28,28/09/2021,3:45pm - 5:00pm,Case attended venue,2021-10-04,04/10/2021,16:04:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,15:45:00,17:00:00,F5R3
Ballarat,ALDI Ballarat,102-114 Creswick Road,VIC,3350,2021-09-28,28/09/2021,11:40am - 12:30pm,Case attended venue,2021-10-04,04/10/2021,16:04:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:40:00,12:30:00,G6V6
Wendouree,Harvey Norman Ballarat,1322 Howitt Street,VIC,3355,2021-09-28,28/09/2021,3:30pm - 4:30pm,Case attended venue,2021-10-04,04/10/2021,16:04:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,15:30:00,16:30:00,G9Q3
Shepparton,F45 Training Shepparton,204-208 High Street,VIC,3630,2021-09-27,27/09/2021,5:00am - 8:15am,Case attended venue,2021-10-04,04/10/2021,13:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,05:00:00,08:15:00,F4Z6
Cheltenham,"""Monash Health - Kingston Centre Ward 5S""",400 Warringal Road,VIC,3192,2021-09-29,29/09/2021,12:00am - 11:59pm,Case attended venue. All visitors are Tier 1 contacts.,2021-10-04,04/10/2021,13:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,F6Z2
Cheltenham,"""Monash Health - Kingston Centre Ward 5S""",400 Warringal Road,VIC,3192,2021-09-30,30/09/2021,12:00am - 11:59pm,Case attended venue. All visitors are Tier 1 contacts.,2021-10-04,04/10/2021,13:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,G7S2
Cheltenham,"""Monash Health - Kingston Centre Ward 5S""",400 Warringal Road,VIC,3192,2021-10-01,01/10/2021,12:00am - 11:59pm,Case attended venue. All visitors are Tier 1 contacts.,2021-10-04,04/10/2021,13:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,G7N2
Cheltenham,"""Monash Health - Kingston Centre Ward 5S""",400 Warringal Road,VIC,3192,2021-10-02,02/10/2021,12:00am - 11:59pm,Case attended venue. All visitors are Tier 1 contacts.,2021-10-04,04/10/2021,13:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,G2B2
Cheltenham,"""Monash Health - Kingston Centre Ward 5S""",400 Warringal Road,VIC,3192,2021-10-03,03/10/2021,12:00am - 11:59pm,Case attended venue. All visitors are Tier 1 contacts.,2021-10-04,04/10/2021,13:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,F3N6
Shepparton,MFS 24/7 Gym - Shepparton,93 Benalla Road,VIC,3630,2021-09-26,26/09/2021,3:30pm - 4:45pm,Case attended venue,2021-10-04,04/10/2021,13:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,15:30:00,16:45:00,F2J8
Shepparton,MFS 24/7 Gym - Shepparton,93 Benalla Road,VIC,3630,2021-09-30,30/09/2021,11:30am - 1:15pm,Case attended venue,2021-10-04,04/10/2021,13:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:30:00,13:15:00,F5J5
Shepparton,MFS 24/7 Gym - Shepparton,93 Benalla Road,VIC,3630,2021-09-29,29/09/2021,11:40am - 1:15pm,Case attended venue,2021-10-04,04/10/2021,13:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:40:00,13:15:00,G9G4
Eltham,Thrive Bulk Wholefoods,"""Shop 2 Midway Arcade 972-974 Main Road""",VIC,3095,2021-09-29,29/09/2021,9:00am - 9:45am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-04,04/10/2021,09:22:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,09:45:00,F8S6
Broadmeadows,Gowrie Broadmeadows Valley,30-54 Johnstone Street,VIC,3047,2021-09-28,28/09/2021,6:48am - 4:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,06:48:00,16:30:00,G8B6
Broadmeadows,Gowrie Broadmeadows Valley,30-54 Johnstone Street,VIC,3047,2021-09-29,29/09/2021,8:00am - 4:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:00:00,16:30:00,G2J2
Broadmeadows,Gowrie Broadmeadows Valley,30-54 Johnstone Street,VIC,3047,2021-09-30,30/09/2021,8:46am - 12:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:46:00,12:00:00,G2A3
Morwell,Village Cinemas Morwell - screening of 'Shang-Chi and the Legend of the Ten Rings' - Cinema 5,352 Princes Drive,VIC,3840,2021-09-26,26/09/2021,7:00pm - 10:30pm,Case attended venue.,2021-10-03,03/10/2021,21:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,19:00:00,22:30:00,F4R4
Bakery Hill,Coles Bakery Hill,73 Victoria Street,VIC,3350,2021-09-28,28/09/2021,12:10pm - 12:55pm,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:10:00,12:55:00,F2L2
Bakery Hill,Coles Bakery Hill,73 Victoria Street,VIC,3350,2021-09-30,30/09/2021,10:30am - 11:55am,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:30:00,11:55:00,G4A8
Bakery Hill,Bakers Delight Bakery Hill,Shop 6/73 Victoria Street,VIC,3350,2021-09-30,30/09/2021,11:30am - 12:15pm,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:30:00,12:15:00,G3U3
